Sensor Name,Sensor Type,Timestamp,Temperature,Humidity,Dew Point,Heat Index,Feels Like,Wind Chill,Barometric Pressure,Accumulated Rain,Wind Speed,Wind Average,Wind Direction,Wired Sensor Temperature,Wired Sensor Humidity,Soil & Liquid Temperature,Water Detected
5-in-1 Weather Station,5-in-1 Weather Station,4/18/17 9:00,55.5,61,42,54,50.9,55,30.45,0,5,3,158,,,,
5-in-1 Weather Station,5-in-1 Weather Station,4/18/17 9:05,56.5,63,44,55,52.9,56,30.45,0,4,3,113,,,,
5-in-1 Weather Station,5-in-1 Weather Station,4/18/17 9:10,57.7,61,44,56,54.1,58,30.44,0,4,3,113,,,,
5-in-1 Weather Station,5-in-1 Weather Station,4/18/17 9:15,58.5,59,44,57,53.2,57,30.44,0,3,3,158,,,,
5-in-1 Weather Station,5-in-1 Weather Station,4/18/17 9:20,60.2,55,44,59,57.1,60,30.45,0,3,4,113,,,,
5-in-1 Weather Station,5-in-1 Weather Station,4/18/17 9:25,60.7,53,43,59,56.9,61,30.45,0,4,4,90,,,,
5-in-1 Weather Station,5-in-1 Weather Station,4/18/17 9:30,61.9,53,45,60,57.8,62,30.45,0,5,4,113,,,,
5-in-1 Weather Station,5-in-1 Weather Station,4/18/17 9:35,61.7,50,43,60,57.8,62,30.44,0,4,4,113,,,,
5-in-1 Weather Station,5-in-1 Weather Station,4/18/17 9:40,63,50,44,61,57.7,63,30.45,0,7,4,113,,,,
5-in-1 Weather Station,5-in-1 Weather Station,4/18/17 9:45,63.2,50,44,62,60.7,63,30.44,0,2,4,270,,,,
5-in-1 Weather Station,5-in-1 Weather Station,4/18/17 9:50,64.1,49,45,63,61.1,64,30.44,0,2,4,113,,,,
5-in-1 Weather Station,5-in-1 Weather Station,4/18/17 9:55,64.9,48,45,63,62,65,30.44,0,3,4,90,,,,
5-in-1 Weather Station,5-in-1 Weather Station,4/18/17 10:00,65.2,45,43,64,62,65,30.43,0,3,4,113,,,,
5-in-1 Weather Station,5-in-1 Weather Station,4/18/17 10:05,65.9,45,44,64,62.2,66,30.43,0,4,4,45,,,,
5-in-1 Weather Station,5-in-1 Weather Station,4/18/17 10:10,66.5,45,44,65,63,67,30.44,0,4,4,158,,,,
5-in-1 Weather Station,5-in-1 Weather Station,4/18/17 10:15,66.9,44,44,65,62.2,67,30.43,0,6,5,135,,,,
5-in-1 Weather Station,5-in-1 Weather Station,4/18/17 10:20,67.3,40,42,66,62.1,67,30.42,0,8,5,135,,,,
5-in-1 Weather Station,5-in-1 Weather Station,4/18/17 10:25,68,41,43,66,64.2,68,30.43,0,4,5,248,,,,
5-in-1 Weather Station,5-in-1 Weather Station,4/18/17 10:30,67.5,40,42,66,63.5,68,30.43,0,4,5,113,,,,
5-in-1 Weather Station,5-in-1 Weather Station,4/18/17 10:35,68.1,40,43,66,63.1,68,30.43,,6,5,,,,,
5-in-1 Weather Station,5-in-1 Weather Station,4/18/17 10:40,69,39,43,67,64.6,69,30.43,0,4,5,135,,,,
5-in-1 Weather Station,5-in-1 Weather Station,4/18/17 10:45,68.9,40,44,67,65.2,69,30.43,0,4,5,225,,,,
5-in-1 Weather Station,5-in-1 Weather Station,4/18/17 10:50,70.1,40,45,69,65.5,70,30.43,0,5,5,158,,,,
5-in-1 Weather Station,5-in-1 Weather Station,4/18/17 10:55,69.6,39,44,68,65.9,70,30.43,0,4,5,113,,,,
5-in-1 Weather Station,5-in-1 Weather Station,4/18/17 11:00,70.1,39,44,69,66.5,70,30.42,0,4,5,180,,,,
5-in-1 Weather Station,5-in-1 Weather Station,4/18/17 11:05,70.1,35,41,68,64.2,70,30.42,0,3,5,270,,,,
5-in-1 Weather Station,5-in-1 Weather Station,4/18/17 11:10,71.5,37,44,70,64.4,72,30.42,0,4,5,158,,,,
5-in-1 Weather Station,5-in-1 Weather Station,4/18/17 11:15,70.9,37,43,69,66,71,30.42,0,5,6,113,,,,
